ylab,xlab,control,beta,se_hc3,p_value_hc3,r2_adjusted,n,shapiro_p,durbin_watson_stat,breusch_pagan_p
ND-GAIN Adaptive Capacity (%),"RCRC-FA (log1p, per 100k)",log1p_funding_per_100k_unocha,2.434,0.756,0.002,0.340,60.000,0.463,2.234,0.190
ND-GAIN Adaptive Capacity (%),"RCRC-FA (log1p, per 100k)",log1p_gdpPerCapita_tpt,0.394,0.342,0.254,0.812,65.000,0.002,2.187,0.411
ND-GAIN Adaptive Capacity (%),"RCRC-FA (log1p, per 100k)",natural_hazard_inform,3.575,0.749,0.000,0.277,65.000,0.338,2.235,0.068
ND-GAIN Adaptive Capacity (%),"RCRC-FA (log1p, per 100k)",hdi_undp,0.185,0.315,0.560,0.867,65.000,0.478,1.990,0.458
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-FA (log1p, per 100k)",None (bivariate),-0.078,0.147,0.599,-0.010,67.000,0.000,1.952,0.879
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-FA (log1p, per 100k)",log1p_funding_per_100k_unocha,0.151,0.144,0.300,0.105,60.000,0.002,2.162,0.477
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-FA (log1p, per 100k)",log1p_gdpPerCapita_tpt,0.295,0.160,0.070,0.247,67.000,0.026,2.151,0.113
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-FA (log1p, per 100k)",natural_hazard_inform,-0.095,0.128,0.460,0.210,67.000,0.036,1.877,0.055
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)","RCRC-FA (log1p, per 100k)",hdi_undp,0.293,0.166,0.082,0.225,66.000,0.014,2.209,0.091
INFORM Coping Capacity (%),EU-VOL (%),None (bivariate),0.410,0.481,0.403,-0.001,24.000,0.739,0.851,0.268
INFORM Coping Capacity (%),EU-VOL (%),log1p_funding_per_100k_unocha,0.257,0.637,0.692,-0.104,20.000,0.995,0.892,0.188
INFORM Coping Capacity (%),EU-VOL (%),log1p_gdpPerCapita_tpt,-0.488,0.622,0.441,0.133,24.000,0.333,1.070,0.190
INFORM Coping Capacity (%),EU-VOL (%),natural_hazard_inform,0.249,0.336,0.468,0.127,24.000,0.864,0.967,0.672
INFORM Coping Capacity (%),EU-VOL (%),hdi_undp,-0.246,0.976,0.803,0.161,24.000,0.472,1.227,0.022
ND-GAIN Readiness (%),EU-VOL (%),None (bivariate),1.122,0.399,0.010,0.268,24.000,0.068,1.209,0.297
ND-GAIN Readiness (%),EU-VOL (%),log1p_funding_per_100k_unocha,1.212,0.850,0.172,0.179,20.000,0.185,1.044,0.204
ND-GAIN Readiness (%),EU-VOL (%),log1p_gdpPerCapita_tpt,-0.096,0.481,0.844,0.552,24.000,0.713,1.513,0.003
ND-GAIN Readiness (%),EU-VOL (%),natural_hazard_inform,1.034,0.455,0.034,0.283,24.000,0.051,1.253,0.397
ND-GAIN Readiness (%),EU-VOL (%),hdi_undp,0.166,0.331,0.621,0.659,24.000,0.350,1.656,0.024
ND-GAIN Adaptive Capacity (%),EU-VOL (%),None (bivariate),0.663,0.311,0.044,0.125,24.000,0.131,1.713,0.127
ND-GAIN Adaptive Capacity (%),EU-VOL (%),log1p_funding_per_100k_unocha,0.401,0.463,0.399,0.214,20.000,0.054,1.695,0.687
ND-GAIN Adaptive Capacity (%),EU-VOL (%),log1p_gdpPerCapita_tpt,-0.276,0.415,0.513,0.378,24.000,0.107,1.913,0.315
ND-GAIN Adaptive Capacity (%),EU-VOL (%),natural_hazard_inform,0.750,0.347,0.042,0.159,24.000,0.535,1.850,0.421
ND-GAIN Adaptive Capacity (%),EU-VOL (%),hdi_undp,-0.028,0.292,0.926,0.429,24.000,0.219,2.185,0.680
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),None (bivariate),0.068,0.185,0.719,-0.036,24.000,0.355,1.813,0.220
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),log1p_funding_per_100k_unocha,0.055,0.473,0.908,-0.027,20.000,0.621,2.179,0.034
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),log1p_gdpPerCapita_tpt,0.414,0.290,0.168,0.130,24.000,0.073,1.669,0.726
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),natural_hazard_inform,0.128,0.212,0.553,0.108,24.000,0.623,2.010,0.388
"EM-DAT realized disaster impacts (log1p, 2015-2024, per 100k)",EU-VOL (%),hdi_undp,0.226,0.239,0.354,0.013,24.000,0.422,1.734,0.760
